Judul,Isi,Tanggal,Kategori
Parpol Hingga Politisi Manfaatkan Hasil Survei Elektabilitas Capres-cawapres untuk Propaganda,"SERANG– Partai politik dan politisi disebut sebagai pihak yang memanfaatkan hasil survei elektabilitas dan popularitas secara vulgar yang dikembangkan dengan propaganda.Hal tersebut disampaikan Direktur Eksekutif Indonesia Political Opinion (IPO) Dedi Kurniasyah dalam diskusi daring bertajuk ‘Survei Yang Membagongkan’ pada Sabtu (25/11/2023).Menurut Dedi, seharusnya survei elektabilitas lembaga survei tidak bisa menjadi indikator dalam waktu yang panjang.“Survei hanya dapat diyakini sebagai gambaran umum saja,” katanya seperti dikutip suara.com (jaringan BantenNews.co.id).Masih menurut Dedi, lembaga survei menjadi salah satu instrumen untuk menjaga demokratisasi tetap tumbuh.“Justru dengan adanya lembaga survei proses demokrasi bisa tumbuh,” ujar DediApalagi, peran lembaga survei yang paling menonjol itu berkaitan dengan popularitas dan elektabilitas kontestan politik dan prediksi kemenangan berdasarkan hitung cepat.Ia mengemukakan, tidak perlu dilakukan pengawasan lembaga survei secara mendetail untuk menghindari intervensi dari pihak-pihak tertentu.“Bukan kami menolak transparansi, tetapi hanya menjalankan sesuai koridor metodologis supaya kualitas survei itu terjaga,” ujarnya.Survei InternalSebelumnya diberitakan, calon presiden RI nomor urut 3 Ganjar Pranowo menegaskan, pihaknya memiliki survei internal mengenai elektabilitasnya untuk Pilpres 2024.Mantan Gubernur Jawa Tengah tersebut mengklaim bahwa hasil elektabilitasnya masih bagus. Bahkan menurutnya tidak benar bila dikatakan lembaga-lembaga survei lain, elektabilitasnya di Pulau Jawa buruk.“Saya punya banyak survei yang semua saya baca, dan saya punya survei internal kok tidak sama informasinya itu,” kata Ganjar ditemui di kediaman Wapres ke-11 RI Boediono di Kawasan Menteng, Jakarta Pusat, Jumat (24/11/2023).Ia menegaskan kembali, jika tak benar kalau ada yang menyebut elektabilitasnya turun atau tak ada dukungan di Pulau Jawa.“Artinya, informasinya tidak benar,” tuturnya.Dalam beberapa waktu terakhir, sejumlah lembaga membeberkan hasil survei yang menggambarkan merosotnya elektabilitas pasangan Ganjar-Mahfud.Indonesia Political Opinion (IPO) misalnya merilis hasil survei terkait elektabilitas capres-cawapres jelang pencoblosan Pilpres 2024.Menurut hasil survei, Anies mendapatkan elektabilitas sebesar 32,7 persen dan Muhaimin 34,1 persen. Sementara Ganjar memperoleh elektabilitas sebesar 28,3 persen dan Mahfud 27,1 persen.Perbedaan terlihat di mana Anies-Muhaimin dapat mengungguli Ganjar-Mahfud dari segi elektabilitas.(Red)","Sabtu 25 Nov 2023,    21:11 WIB",Politik
KPU Tetapkan Tiga Pasangan Capres-Cawapres Penuhi Syarat Jadi Peserta Pilpres 2024,"SERANG– Komisi Pemilihan Umum (KPU) menetapkan tiga pasangan bakal calon presiden dan calon wakil presiden untuk Pilpres 2024.Adapun tiga pasangan calon presiden dan calon wakil presiden yang dimaksud ialah Anies Baswedan dengan Muhaimin Iskandar, Ganjar Pranowo dengan Mahfud MD, dan Prabowo Subianto dengan Gibran Rakabuming Raka.Anggota KPU Idham Holik menjelaskan bahwa ketiga pasangan calon presiden dan calon wakil presiden telah memenuhi ketentuan presidential threshold atau ambang batas pencalonan 20 persen kursi DPR atau 25 persen perolehan suara nasional dari gabungan partai politik pendukung pasangan calon.Kemudian, ketiga pasangan tersebut juga dinyatakan memenuhi syarat kesehatan setelah masing-masing pasangan diperiksa oleh tim dokter dari RSPAD Gatot Soebroto.Lebih lanjut, kata Idham, hasil verifikasi dokumen administrasi ketiga pasangan calon juga dinyatakan telah memenuhi syarat.“KPU telah menyatakan bahwa pasangan calon presiden dan wakil presiden Anies Rasyid Baswedan dan Abdul Muhaimin Iskandar yang diusulkan oleh partai politik Nasdem, PKB, PKS telah dinyatakan memenuhi syarat dan dinyatakan sebagai pasangan calon presiden dan wakil presiden untuk pemilu serentak 2024,” kata Idham di Kantor KPU, Jakarta Pusat, Senin (13/11/2023).Kemudian KPU telah menyatakan bahwa pasangan calon presiden dan wakil presiden Ganjar Pranowo dan Mahfud MD dinyatakan memenuhi syarat dan dinyatakan sebagai pasangan calon presiden dan wakil presiden untuk pemilu serentak 2024. Pasangan itu diusung dan didukung oleh PDIP, PPP, Perindo dan Hanura.“Selanjutnya, KPU telah menyatakan bahwa pasangan calon presiden dan wakil presiden Prabowo Subianto dan Gibran Rakabuming Raka yang diusulkan oleh partai politik Gerindra, Golkar, Demokrat, PAN, PSI, PBB, dan Garuda telah dinyatakan memenuhi syarat dan dinyatakan sebagai pasangan calon presiden dan wakil presiden untuk pemilu serentak 2024,” kata Idham.Setelah penetapan pasangan calon presiden dan calon wakil presiden ini, KPU akan menggelar pengundian nomor urut pada Selasa (14/11/2023).(Red/suara.com)","Selasa 14 Nov 2023,    01:15 WIB",Politik
"Jelang Pemilu 2024, Pekulahan Masjid Kesunyatan Kota Serang Sering Dipakai Mandi...","SERANG– Pekulahan Masjid Kesunyatan yang berada di Kelurahan Kasunyatan, Kecamatan Kasemen, Kota Serang, Banten dipercaya sebagai bekas tempat wudhu para wali pada zaman dahulu.Karena kepercayaan tersebut, pekulahan yang berada di Masjid Agung Kesunyatan itu sering didatangi pejabat, tokoh politik bahkan hingga artis.Menjelang Pemilu 2024 mendatang Pekulahan Masjid Kesunyatan itu juga tentu sering didatangi para caleg, hingga tokoh politik yang hendak berkontestasi di pesta demokrasi 5 tahunan itu.Tak hanya dari waga Serang, Banten saja, mereka yang datang ke Pekulahan Masjid Kesunyatan itu datang dari berbagai kota kabupaten di luar Banten.“Banyak yang dari luar, ada dari Sumatera, dari Kalimantan, dari Jakarta, luar Banten lah, itu biasanya ramenya sih di (bulan Mulud), tapi kalau warga Serang dan sekitarnya itu sih rame pas malam Jumat,” kata Dewan Kesejahteraan Mesjid (DKM) Ustaz Nawahi (44) melansir Suara.com (jaringan BantenNews.co.id), Minggu (10/12/2023).Ustaz Nawahi, saat ini di tahun politik beberapa dari mereka yang datang biasanya mencari keberkahan dari air sumur yang dipercaya memiliki karomah oleh orang-orang untuk masuk dalam dunia politik.“Yah rame aja (caleg-caleg), itu banyak (calon) dewan-dewan yang datang. Mereka biasanya datang malem, biasanya bawa orang pinternya, buat mandi di kulah itu,” kata Ustaz Nawahi.Bukan tanpa alasan, pekulahan yang berada di samping Masjid Kesunyatan dengan ukuran sekitar 6×6 meter dan ke dalam 5-6 meter yang mempunyai empat sudut pintu itu dipercaya sejumlah orang bisa membawa keberuntungan atau mengabulkan hajat.Bahkan, lanjutnya, air dari sumur kulah di lokasi itu dipercaya membawa keberuntungan baik mempercepat jodoh, mempercepat rizki dan keinginan-keinginan sesuai hajat orang yang datang ke air kulah Mesjid Agung Kesunyatan.“Itu sumber mata air, dulu digunakan oleh para wali Allah untuk wudhu, jadi karomahnya besar. Dan karena khasiatnya, orang-orang datang ke sini pengen hajat ini, pengen hajat itu, tapi tadi itu selain dari Allah SWT, itu sekedar wasilah ya,” ungkapnya.“Karena itulah banyak dari politik, pejabat, sampe artis juga datang buat mandi di kulah. Cuma karena banyak juga yang datang tidak melalui kita (DKM), jadi pakai istilahnya yang ngedoainnya lah, dari luar,” imbuhnya.(Red)","Minggu 10 Des 2023,    01:14 WIB",Politik
"IJTI Korwil Serang, Desak Polisi Tangkap Oknum Buruh Tindakan Intimidasi Terhadap...","SERANG– Ikatan Jurnalis Televisi Indonesia (IJTI) Korwil Kabupaten Serang mendesak Polisi secepatnya menangkap oknum buruh yang melakukan aksi kasus dugaan intimidasi, berupa pemaksaan penghapusan hasil peliputan wartawan yang bertugas sebagai Kontributor MNC Media sekaligus Penanggungjawab Redaksi iNewsBanten.com Mahesa Apriandi, pada Rabu (29/11/2023) lalu.“IJTI Korwil Kabupaten Serang menyampaikan dan mendesak kepada Pak Kapolresta Serang Kota dan saya memohon untuk segera tangkap oknum buruh tersebut serta meminta untuk menjadi atensi,” kata Adi Masda sebagai Korwil IJTI Kabupaten Serang, Minggu (3/11/2023).Adi Koresponden CNN ini juga menyebut tindakan dugaan intimidasi berupa pemaksaan penghapusan hasil peliputan wartawan oleh oknum buruh itu sudah kelewat batas, sebab jurnalis itu yang sedang menjalankan bertugas peliputan dilindungi Undang-Undang Pers Nomor 43 Tahun 1999.“Selain itu, Adi menyebut aksi dugaan intimidasi berupa pemaksaan penghapusan hasil peliputan wartawan yang dilakukan oleh oknum buruh tersebut mencoreng nama baik, karena tindakan anarkis oknum buruh tersebut merugikan para jurnalis dan dianggap tidak menghormati profesi wartawan,” ucapnya.Adi pun kembali menegaskan bahwa oknum buruh tersebut harus secepatnya ditangkap. Aksi dugaan intimidasi berupa pemaksaan penghapusan hasil peliputan wartawan itu pun mendapatkan atensi dari IJTI Provinsi Banten.“Oknum buruh ini harus ditangkap. Saya minta kejar terus sampai ditangkap,” pungkasnya.Berdasarkan informasi yang diterima, insiden tersebut bermula saat Kontributor MNC Media sedang bertugas peliputan untuk tayangan televisi. Kasus tersebut akhirnya dilaporkan ke Polresta Serang Kota, karena tindakan anarkis oknum buruh tersebut merugikan para jurnalis dan dianggap tidak menghormati profesi wartawan.Sementara itu, Kapolresta Serang Kota, Kombes Pol Sofwan Hermanto mengatakan, dari laporan tersebut pihak Kepolisian akan memanggil pihak yang bersangkutan untuk tindak lanjut dari kasus dugaan kekerasan verbal dan intimidasi oleh oknum buruh.“Kami akan memanggil dalam waktu dekat ini sejumlah pimpinan buruh untuk meminta pertanggungjawaban atas tindakan anarkis terhadap wartawan maupun warga sekitar yang menjadi korban,” ucapnya.Selain itu, Sofwan menuturkan, anggota kepolisian juga sempat terkena tindakan kekerasan yang diduga dilakukan oleh oknum buruh pada saat pengamanan aksi demo beberapa waktu lalu di Kawasan Pusat Pemerintahan Provinsi Banten (KP3B).“Kami juga sama, terkena tindakan kekerasan oleh oknum buruh saat menjalankan tugas pengaturan jalan protokol kota Serang. Parahnya, anggota tim Humas Polresta Serang Kota sempat dipaksa menghapus dokumentasi saat pimpinan sedang meninjau aksi buruh di depan kawasan KP3B,” tutupnya.(Red)","Minggu 3 Des 2023,    19:04 WIB",hukum
"Jelang Pilpres 2024, TikTok Bakal Berangus Konten Hoax","BANTEN– TikTok Indonesia berkolaborasi dengan sejumlah mitra pemeriksa fakta independen dan kredibel di Indonesia untuk mengawasi konten hoax di platformnya menjelang hajatan Pemilihan Umum (Pemilu) 2024.Bekerja sama dengan organisasi seperti Masyarakat Anti Fitnah Indonesia (MAFINDO), Perkumpulan untuk Pemilu dan Demokrasi (PERLUDEM), dan Agence-France Presse (AFP) Indonesia.Inisiatif ini sekaligus mempertegas komitmen TikTok dalam melawan penyebaran misinformasi di platform untuk menyediakan ruang digital yang aman dan positif bagi semua pengguna.“Kami percaya bahwa menciptakan lingkungan digital yang aman dan positif merupakan tanggung jawab semua pihak, termasuk TikTok,” kata Outreach and Partnerships, Trust and Safety, TikTok Indonesia Anbar Jayadi dikutip Jumat (20/10/2023).Menurut dia menjelang pelaksanaan Pemilu 2024, TikTok terus memperluas kerja sama dengan berbagai pihak, termasuk mitra pemeriksa fakta sebagai bentuk upaya berkelanjutan kami dalam melawan misinformasi.“Kerja sama ini juga sejalan dengan komitmen kami dalam memastikan agar TikTok tetap menjadi tempat yang aman dan nyaman bagi para pengguna untuk terhubung dan berkreasi. Kami harap kerja sama yang tercipta ini juga dapat mendorong semua orang untuk saling menjaga satu sama lain dari potensi misinformasi yang ada di ranah digital,” jelas Anbar.Untuk memastikan integritas platform tetap terjaga menyambut Pemilu 2024, TikTok menggandeng MAFINDO dan PERLUDEM untuk menandai sekaligus melaporkankonten-konten yang mengandung misinformasi dan berpotensi membahayakan pengguna melalui kanal pelaporan khusus yang disediakan TikTok.MAFINDO dan PERLUDEM juga akan jadi bagian dari TikTok Election Hub yang akan datang, di mana akun TikTok MAFINDO dan PERLUDEM akan dicantumkan sebagai tambahan sumber informasi kredibel bagi pengguna TikTok yang ingin mengetahui hal-hal terkait integritas sipil dan pemilihan umum.“Isu misinformasi adalah isu industri, bukan isu salah satu platform semata,” kata Ketua Komite Media Sosial MAFINDO Silma Agbas.Menurut dia melihat tendensinya, jumlah konten hoax akan meningkat menjelang Pemilu 2024, sehingga setiap pemangku kepentingan terkait perlu duduk bersama memikirkan solusi terbaik untuk menciptakan pengalaman berinternet yang positif dan menanggulangi penyebaran misinformasi bermuatan politik. (Red)","Jumat 20 Okt 2023,    12:06 WIB",Politik
Erick Thohir Ancam Pelaku Pengaturan Skor dengan Hukuman Berat,"JAKARTA– Ketua Umum (Ketum) PSSI, Erick Thohir membeberkan ancaman hukuman berat bagi para pelaku pengaturan skor (match fixing) di sepak bola Indonesia. Hukuman ini menyasar tiga pihak dengan sanksi yang sama beratnya.Erick Thohir menyebut para oknum yang terlibat dalam pengaturan skor hingga memunculkan skor atau hasil yang diinginkan dan direncakan atau match fixing, akan ditindak.Oknum yang terlibat baik itu pemain dan wasit akan dikenakan sanksi seumur hidup pelarangan beraktifitas di dunia sepak bola.Menariknya sanksi ini tidak hanya berlaku di Indonesia melainkan di seluruh wilayah FIFA.Sementara itu untuk klub yang terlibat dalam aksi match fixing akan diberlakukan hukuman degradasi.Hal ini diungkapkan Erick Thohir lewat keterangan resmi tertulis yang dirilis pada Sabtu (15/4/2023) lalu.Dengan dirilisnya aturan terkait match fixing ini, Erick berharap pertandingan di seluruh laga Liga Indonesia musim depan berjalan adil.Lebih lanjut, mantan Presiden Inter Milan itu percaya sederet pihak dengan jabatan penting di PSSI memiliki komitmen sepak bola yang bersih.Karena itu jika ada pertandingan di Liga Indonesia yang berjalan dengan pengaturan skor maka layak dihukum sangat berat.Erick menegaskan ancamannya itu bukan sekadar omongan saja, melainkan komitmen bersama PSSI menciptakan sepak bola bersih.“Saya rasa saya bersama pak Zainudin Amali (Wakil Ketua Umum PSSI) dan Exco (Komite Eksekutif PSSI) punya komitmen sepak bola yang bersih dan tentu berprestasi,” ujar Erick.“Jadi kalau ternyata liga ada main mata hukumannya sangat berat. Kami sudah punya komitmen itu. Jadi tidak ada istilah main-main sekarang, karena kami ingin menciptakan sepak bola yang bersih dan berprestasi,” tegasnya.Liga 1 2022/2023 sendiri berlangsung tanpa degradasi setelah dihentikannya Liga 2, artinya ancaman hukuman match fixing bakal diterapkan di musim depan.(Red)","Rabu 19 Apr 2023,    11:08 WIB",Sport
Anggota DPRD Lebak Kutuk Pelaku Pemerkosaan yang Belum Diproses Hukum,"LEBAK– Seorang gadis berusia 13 tahun warga Kecamatan Cihara, Kabupaten Lebak, Banten, diduga telah mengalami tindak perkosaan yang dilakukan oleh 4 remaja asal Kecamatan Bayah, Kabupaten Lebak, Banten.Namun, 4 orang terduga pelaku pemerkosaan yang merupakan warga Desa Bayah Barat tidak diproses hukum, lantaran terjadi proses perdamaian antara keluarga korban dengan pelaku yang difasilitasi oleh pemerintah desa masing-masing.Anggota DPRD Lebak, Musa Weliansyah, mengutuk keras dugaan tindakan pemerkosaan yang dilakukan tethadap anak dibawah umur tersebut. Ia mendesak UPTD PPA untuk segera jemput bola mendampingi korban.“Ini perbuatan keji dan biadab, tidak boleh dibiarkan, polisi harus segera menangkap para pelakunya, dan diproses hukum semaksimal mungkin. Karena kesepakatan damai tidak bisa menggugurkan tindak pidananya,” kata Musa saat dihubungi, Rabu (11/10/2023).Ia mengungkapkan, jika keluarga korban mengaku mendapat tekanan saat kesepakatan damai terjadi, bahkan laporan yang telah dibuat di Polsek Bayah juga diminta untuk dicabut kembali.“Kami siap melakukan pendampingan terhadap korban untuk menempuh proses hukum demi mendapatkan keadilan atas kejadian yang telah menimpanya tersebut,” ucapnya.(San/Red)","Rabu 11 Okt 2023,    15:06 WIB",hukum
Prabowo Tak Malu Akui Sangat Sayang Dengan Jokowi,"SERANG– Capres nomor urut 2, Prabowo Subianto mengaku sangat sayang dengan Presiden Joko Widodo (Jokowi). Padahal, keduanya sempat bersaing dalam ketatnya Pilpres 2019.“Saya memang pernah bertanding dengan beliau, bersaing dengan beliau. Tapi saya tidak pernah benci dengan beliau. Bahkan sekarang saya sangat sayang sama beliau,” ujar Prabowo dalam acara deklarasi relawan Matahari Pagi di kediamannya, Jalan Kertanegara Nomor 4, Jakarta Selatan, Sabtu (18/11/2023).Prabowo merasa kagum dengan Jokowi, karena Jokowi setiap hari bekerja untuk rakyat Indonesia. Menteri Pertahanan itu mengaku memuji-muji Jokowi bukan untuk menjilat.“Saya tidak malu-malu mengatakan saya saksi beliau berjuang untuk rakyat Indonesia. Beliau berjuang tiap hari untuk rakyat Indonesia. Saya tidak malu-malu, saya tidak menjilat,” kata Prabowo melansir suara.com (jaringan BantenNews.co.id).Dari Jokowi, Prabowo belajar untuk mengatakan suatu kebenaran. Selain itu, Prabowo mengaku belajar agar tidak memfitnah dan mengejek.“Saya diajarkan katakan yang benar itu benar, yang salah itu salah, jangan kita teruskah budaya-budaya memfitnah, menghujat, mengejek, mencaci maki itu budaya yang tidak baik,” ungkap Prabowo.“Kita tinggalkan itu, kita berpikir yang baik, kita bertutur kata dengan baik dan berbuat yang baik,” imbuhnya.Lebih lanjut, Prabowo menambahkan, bahwa masyarakat Indonesia memubutuhkan figur memimpin yang bisa mewujudkan kerukukan.Ia mengajak para relawannya untuk bersama-sama mendulang dukungan untuk Pilpres 2024 lewat pemaparan program dan rencana-rencana.“Rakyat kita butuh semua pemimpin rukun. Kita sekarang bertanding ada tiga paslon, monggo biar rakyat yang memilih siapa yang mereka kehendaki. Biar rakyat yang menentukan, kita datang ke rakyat ini program kira ini rencana kita, ini strategi kita, ini yang akan kita bawa untuk Indonesia bangkit,” jelas Prabowo.Untuk diketahui, Komisi Pemilihan Umum (KPU) RI telah menetapkan tiga bakal pasangan calon presiden dan wakil presiden menjadi peserta Pilpres 2024. Penetapan itu dilakukan KPU pada Senin (13/11/2023).Hasil pengundian dan penetapan nomor urut peserta Pilpres 2024 juga sudah digelar pada hari Selas (14/11/2023). Pasangan Anies Baswedan-Muhaimin Iskandar mendapat nomor urut 1, Prabowo Subianto-Gibran Rakabuming Raka nomor urut 2, dan Ganjar Pranowo-Mahfud MD nomor urut 3.Sedangkan masa kampanye baru akan dimulai pada 28 November 2023 hingga 10 Februari 2024. Kemudian jadwal pemungutan suara pada tanggal 14 Februari 2024.(Red)","Minggu 19 Nov 2023,    01:11 WIB",Politik
"Sempat Buron, Polisi Akhirnya Tangkap Pelaku Curanmor di Cisata Pandeglang","PANDEGLANG– Polsek Pagelaran Polres Pandeglang akhirnya berhasil menangkap Ahmad Suryana (35) warga Desa Kondangjaya, Kecamatan Cisata, Kabupaten Pandeglang setelah sempat buron selama 1 bulan karena mencuri sepeda motor milik warga Desa Surianeun, Kecamatan Patia, Pandeglang pada 5 Oktober 2023 lalu.Pelaku ditangkap ditempat persembunyiannya yang berada di Cengkareng pada Senin (27/11/2023) sekitar pukul 20.00 WIB tanpa melakukan perlawanan. Dari tangan pelaku, polisi juga mengamankan 1 unit sepeda motor milik korban.Kapolsek Pagelaran, IPTU Dasep Dudi Rahmat mengatakan, sebelum ditangkap di Tangerang, pelaku sempat bersembunyi di daerah Banjarmasin selama 2 minggu untuk menghindari pengejaran petugas.Setelah itu, pelaku sempat kembali ke rumahnya yang berada di Cisata dan kembali bersembunyi di daerah Cengkareng hingga akhirnya tertangkap oleh polisi.“Jadi setelah kasus pencurian itu pelaku membawa sepeda motor korban ke rumah pelaku, sedangkan pelaku langsung kabur menghindari pengejaran polisi,” kata Dasep, Rabu (29/11/2023).Kata dia, pelaku sempat menjual barang hasil curiannya ke warga Cimoyan Pandeglang sebesar Rp3,8 juta sesaat setelah pelaku kembali dari Banjarmasin. Usai menjual motor hasil curiannya, pelaku langsung berusaha bersembunyi ke daerah Cengkareng.“Sepeda motor ini sempat dijual oleh pelaku ke seseorang, masih daerah Pandeglang dia jualnya. Kalau dari catatan kami, pelaku baru kali ini melakukan pencurian,” ungkapnya.Untuk mempertanggungjawabkan perbuatannya, pelaku bakal dijerat dengan pasal pencurian sebagaimana dimaksud Pasal 362 KUH Pidana dengan ancaman pidana paling lama 5 tahun kurungan penjara. (Med/Red)","Kamis 30 Nov 2023,    01:12 WIB",hukum
DPO Pencuri Motor di Parkiran Diciduk Polsek Carenang Serang,"SERANG– Sepandai-pandai tupai melompat, akhirnya jatuh juga. Begitu istilah untuk menggambarkan pelarian KM alias Tomi (26).Pencuri motor spesialis parkiran warga Desa Lempuyang, Kecamatan Tanara, Kabupaten Serang ini harus tunduk dalam kejaran Unit Reskrim Polsek Carenang.Tersangka warga Desa Lempuyang, Kecamatan Tanara, Kabupaten Serang ini ditangkap saat cukur rambut di depan rumahnya.Dari tersangka, petugas mengamankan barang bukti 6 unit motor berbagai jenis serta satu buah obeng yang digunakan sebagai alat kejahatan.“Tersangka merupakan DPO dalam serangkaian kasus pencurian motor di sejumlah wilayah di Kabupaten Serang, termasuk wilayah hukum Polsek Carenang. Tersangka ditangkap pada Senin kemarin sekitar pukul 20.00,” terang Kapolres Serang AKBP Wiwin Setiawan melalui Kapolsek Carenang Iptu Saeful Sani, Kamis (26/10/2023).Kapolsek menjelaskan penangkapan gembong curanmor ini hasil pengembangan dari tersangka Agus, rekan Tomi yang ditangkap Unit Reskrim Polsek Kragilan beberapa waktu lalu.“Jadi penangkapan Tomi ini hasil dari ‘nyanyian’ tersangka Agus yang ditangkap personel Polsek Kragilan. Tersangka ditangkap saat mencukur rambut di depan rumahnya tanpa melakukan perlawanan,” kata Saeful Sani didampingi Kanitreskrim Ipda Muhamad Arpah.Dalam pemeriksaan, kata Saeful, tersangka Tomi bersama Agus pada Rabu (1/3/2023) lalu sekitar pukul 18.30, menggasak motor Honda Beat A 3932 EU di halaman rumah Masni (49) di Kampung Binuang Rawa, Desa Binuang, Kecamatan Binuang, Kabupaten Serang.“Tersangka mencuri motor yang ada di halaman rumah Masni sekitar pukul 18.30,” ujarnya.Tidak hanya motor milik Masni, tersangka Tomi bersama Agus melakukan kejahatan serupa di sejumlah daerah. “Kalau tersangka Agus diketahui 26 kali mencuri, sedangkan Tomi hanya 6 kali,” jelasnya.Setelah mengetahui motornya hilang, korban selanjutnya melaporkan kasus pencurian tersebut ke Mapolsek Carenang. Berbekal dari informasi tersebut, Tim Unit Reskrim yang dipimpin Ipda Muhamad Arpah segera melakukan penyelidikan dan akhirnya berhasil meringkus tersangka.“Modus operandi yaitu tersangka mencuri motor yang tidak dikunci stang. Setelah itu motor didorong ke tempat sepi lalu membongkar soket kunci menggunakan obeng untuk menghidupkan mesin motor,” beber Kapolsek.Tersangka saat ini ditahan di Mapolsek Carenang dan dijerat Pasal 363 Jo 55 KUHPidana dengan ancaman hukuman 7 tahun penjara. (Red)","Kamis 26 Okt 2023,    16:14 WIB",hukum
Pebasket Indonesia Marques Bolden akan Bermain untuk Tim NBA Milwaukee Bucks,"JAKARTA– Pemain naturalisasi Timnas Basket Indonesia Marques Bolden akan bermain untuk tim NBA Milwaukee Bucks setelah menandatangani kontrak dua arah (two-way contract) yang memungkinkannya bermain untuk Bucks.“Hasil diskusi tim Bucks, sangat kagum dengan performa Marques membela Tim Merah Putih di Pre Olympic Qualifier. Penampilan apik saat itu membuka kesempatan yang berujung dengan two-way contract ini,” kata Manajer Timnas Bola Basket Indonesia Jeremy Imanuel Santoso dalam keterangan tertulis di Jakarta, Minggu seperti dimuat Antara.Dengan kontrak ini, Bolden yang memiliki sapaan karib Joyo ini bisa main di NBA juga di G League dalam satu waktu yang sama. G League adalah kompetisi bola basket profesional tingkat bawah yang diakui oleh NBA.Sebelumnya, Bolden juga memang sudah pernah bermain untuk Bucks, walaupun hanya di laga pramusim 2022-2023. Pada saat musim reguler dimulai, Bolden dilepas oleh Bucks.Kini, Bolden secara resmi terdaftar sebagai rooster Milwauke Bucks untuk melengkapi 18 pemain. Dia akan bermain bersama dengan bintang NBA Giannis Antetokounmpo dan juga pemain anyar Bucks yaitu Damian Lillard.Saat Pra Kualifikasi Olimpiade Paris, Bolden tampil impresif. Pada laga pembuka saat mengalahkan Kazakhstan, dia membukukan 40 poin, 10 rebound, dan 2 asist. Dengan sumbangan poin sebanyak itu, Indonesia mengalahkan Kazakhstan dengan kedudukan 91-82.Kemudian pada laga kedua melawan India, Bolden mencatatkan poin terbanyak 23 poin dan 9 rebound. Sayangnya, sumbangan poin itu belum bisa hindarkan Indonesia dari kekalahan karena skor akhir 74-90 untuk India.Ketika melawan Arab Saudi, Bolden mencetak poin terbanyak dengan 21 angka, 9 rebound, dan 2 asis. Di pertandingan ini, Indonesia kalah 72-86. Pada gim keempat, Joyo menyumbang 9 angka, 7 rebound, dan 1 asist untuk Indonesia saat melawan Bahrain. Pada laga Ini, Indonesia menyerah 95-72.Di laga terakhir melawan Suriah, Joyo kembali menjadi penyumbang poin terbanyak dengan 24 angka, 11 rebound dan 1 asist. Sumbangan poin ini mengantarkan Indonesia mengemas kemenangan kedua dengan kedudukan 84-78.Total, dari tiga pertandingan ini Joyo mencetak 117 angka, 46 rebound, dan 6 asist.“Pemain Indonesia kembali ke NBA. Siap membawa 275 juta masyarakat Indonesia menjadi pendukung Milwaukee bucks,” kata Jeremy. (Red)","Senin 23 Okt 2023,    13:11 WIB",Sport
Atlet Karate Kota Tangerang Siap Bertanding di PON XXI Aceh –...,"TANGERANG– Cabang olahraga Karate yang bertanding pada ajang Pra-Pekan Olahraga Nasional (PON) XXI Aceh-Sumatera telah dilaksanakan. Provinsi Banten berhasil meraih delapan kelas untuk bertanding di ajang PON XXI Aceh-Sumatera.Tiga kelas di antaranya, berhasil diraih oleh atlet karate asal Kota Tangerang yaitu, Aurell Talita Hasna Pusung, Syahla Nabila dan Marsera di kata beregu putri, Cevita Risky di kumite kelas +68 Kg putri, dan Bagas Aziz Saputra di kumite kelas -55 Kg putra.Kepala Dinas Pemuda dan Olahraga Kota Tangerang, Kaonang mengatakan lolosnya atlet karate dari Kota Tangerang ke PON XXI Aceh-Sumatera merupakan sebuah kebanggaan bagi seluruh masyarakat Kota Tangerang. Hal ini juga menjadi peningkatan karena pada PON Papua lalu hanya dua kelas pertandingan yang dapat lolos.“Alhamdulillah dari tiga kelas ini ada lima atlet Kota Tangerang yang siap bertanding di PON Aceh-Sumatera. Ini tentunya merupakan suatu kebanggaan bahwa atlet-atlet Kota Tangerang dapat mewakili Provinsi Banten pada ajang olahraga nasional. Kami dari Pemerintah Kota Tangerang tentu mengucapkan selamat dan pastinya mendukung atlet-atlet kita yang akan bertanding nanti,” ungkapnya, Senin (28/8/2023).Ia berpesan kepada para atlet untuk jangan pernah lelah berlatih dan berikan yang terbaik. Tentunya, diharapkan para atlet Kota Tangerang yang mewakili Provinsi Banten dapat membawa emas dalam PON XXI nanti.“Berikan yang terbaik saat bertanding nanti dan tunjukkan kepada seluruh masyarakat Indonesia bahwa atlet-atlet Kota Tangerang yang mewakili Provinsi Banten dapat bersaing dengan atlet dari daerah lain. Mari kita dukung dan doakan seluruh atlet kita dapat meraih podium di PON XXI Aceh-Sumatera. Mudah-mudahan mereka semua pulang dengan membawa medali emas,” harap Kaonang.(Ril/Red)","Selasa 29 Agu 2023,    10:11 WIB",Sport
